0, 10.9550, 15.4351, 8.3916e-07, 0:00:30.097627, 17419.58, [tensor(29.6753, device='cuda:0'), tensor(53.9458, device='cuda:0')]
1, 10.9027, 15.1161, 1.6783e-06, 0:00:00.670645, 781766.81, [tensor(0.5143, device='cuda:0'), tensor(0.5118, device='cuda:0')]
2, 10.8043, 14.5240, 2.5175e-06, 0:00:00.675421, 776238.82, [tensor(0.5143, device='cuda:0'), tensor(0.5119, device='cuda:0')]
3, 10.6627, 13.0111, 3.3566e-06, 0:00:00.673214, 778783.57, [tensor(0.5134, device='cuda:0'), tensor(0.5107, device='cuda:0')]
4, 10.5201, 10.6132, 4.1958e-06, 0:00:00.676353, 775169.18, [tensor(0.5126, device='cuda:0'), tensor(0.5137, device='cuda:0')]
5, 10.3777, 8.9111, 5.0350e-06, 0:00:00.680059, 770944.87, [tensor(0.5126, device='cuda:0'), tensor(0.5181, device='cuda:0')]
6, 10.2584, 7.6120, 5.8741e-06, 0:00:00.677539, 773812.28, [tensor(0.5124, device='cuda:0'), tensor(0.5144, device='cuda:0')]
7, 10.1488, 6.5825, 6.7133e-06, 0:00:00.676575, 774914.83, [tensor(0.5101, device='cuda:0'), tensor(0.5142, device='cuda:0')]
8, 10.0384, 5.4654, 7.5524e-06, 0:00:00.677070, 774348.29, [tensor(0.5125, device='cuda:0'), tensor(0.5145, device='cuda:0')]
9, 9.9632, 4.6452, 8.3916e-06, 0:00:00.675571, 776066.47, [tensor(0.5107, device='cuda:0'), tensor(0.5117, device='cuda:0')]
10, 9.8778, 3.8446, 9.2308e-06, 0:00:00.676824, 774629.74, [tensor(0.5100, device='cuda:0'), tensor(0.5150, device='cuda:0')]
11, 9.8304, 3.4490, 1.0070e-05, 0:00:00.677317, 774065.91, [tensor(0.5113, device='cuda:0'), tensor(0.5141, device='cuda:0')]
12, 9.7838, 3.0290, 1.0909e-05, 0:00:00.678643, 772553.46, [tensor(0.5101, device='cuda:0'), tensor(0.5161, device='cuda:0')]
13, 9.7470, 2.7233, 1.1748e-05, 0:00:00.676587, 774901.08, [tensor(0.5129, device='cuda:0'), tensor(0.5139, device='cuda:0')]
14, 9.6878, 2.5926, 1.2587e-05, 0:00:00.676561, 774930.86, [tensor(0.5139, device='cuda:0'), tensor(0.5131, device='cuda:0')]
15, 9.6665, 2.4385, 1.3427e-05, 0:00:00.677626, 773712.93, [tensor(0.5139, device='cuda:0'), tensor(0.5167, device='cuda:0')]
16, 9.6531, 2.3427, 1.4266e-05, 0:00:00.675003, 776719.51, [tensor(0.5123, device='cuda:0'), tensor(0.5123, device='cuda:0')]
17, 9.6302, 2.3068, 1.5105e-05, 0:00:00.676039, 775529.22, [tensor(0.5123, device='cuda:0'), tensor(0.5124, device='cuda:0')]
18, 9.6805, 2.3363, 1.5944e-05, 0:00:00.674157, 777694.22, [tensor(0.5126, device='cuda:0'), tensor(0.5115, device='cuda:0')]
19, 9.6755, 2.3528, 1.6783e-05, 0:00:00.674056, 777810.75, [tensor(0.5176, device='cuda:0'), tensor(0.5098, device='cuda:0')]
20, 9.5752, 2.2804, 1.7622e-05, 0:00:00.674270, 777563.88, [tensor(0.5112, device='cuda:0'), tensor(0.5127, device='cuda:0')]
21, 9.5424, 2.3016, 1.8462e-05, 0:00:00.676146, 775406.50, [tensor(0.5131, device='cuda:0'), tensor(0.5137, device='cuda:0')]
22, 9.5279, 2.2564, 1.9301e-05, 0:00:00.675284, 776396.30, [tensor(0.5137, device='cuda:0'), tensor(0.5124, device='cuda:0')]
23, 9.5168, 2.2228, 2.0140e-05, 0:00:00.676804, 774652.63, [tensor(0.5154, device='cuda:0'), tensor(0.5132, device='cuda:0')]
24, 9.4540, 2.2201, 2.0979e-05, 0:00:00.675416, 776244.57, [tensor(0.5129, device='cuda:0'), tensor(0.5139, device='cuda:0')]
25, 9.4197, 2.1934, 2.1818e-05, 0:00:00.675762, 775847.12, [tensor(0.5121, device='cuda:0'), tensor(0.5126, device='cuda:0')]
26, 9.4037, 2.0929, 2.2657e-05, 0:00:00.678149, 773116.23, [tensor(0.5133, device='cuda:0'), tensor(0.5135, device='cuda:0')]
27, 9.3596, 2.0911, 2.3497e-05, 0:00:00.677490, 773868.25, [tensor(0.5152, device='cuda:0'), tensor(0.5145, device='cuda:0')]
28, 9.3316, 2.1585, 2.4336e-05, 0:00:00.677670, 773662.70, [tensor(0.5143, device='cuda:0'), tensor(0.5135, device='cuda:0')]
29, 9.2828, 2.0860, 2.5175e-05, 0:00:00.677763, 773556.54, [tensor(0.5125, device='cuda:0'), tensor(0.5146, device='cuda:0')]
30, 9.3204, 2.0860, 2.6014e-05, 0:00:00.676295, 775235.66, [tensor(0.5134, device='cuda:0'), tensor(0.5134, device='cuda:0')]
31, 9.2424, 2.0069, 2.6853e-05, 0:00:00.682641, 768028.88, [tensor(0.5122, device='cuda:0'), tensor(0.5204, device='cuda:0')]
32, 9.2210, 1.9364, 2.7692e-05, 0:00:00.675254, 776430.79, [tensor(0.5111, device='cuda:0'), tensor(0.5132, device='cuda:0')]
33, 9.1796, 2.1931, 2.8531e-05, 0:00:00.677103, 774310.56, [tensor(0.5118, device='cuda:0'), tensor(0.5143, device='cuda:0')]
34, 9.0806, 2.4597, 2.9371e-05, 0:00:00.675977, 775600.35, [tensor(0.5124, device='cuda:0'), tensor(0.5130, device='cuda:0')]
35, 9.0878, 2.2422, 3.0210e-05, 0:00:00.676914, 774526.75, [tensor(0.5118, device='cuda:0'), tensor(0.5139, device='cuda:0')]
36, 9.0596, 2.0684, 3.1049e-05, 0:00:00.678902, 772258.74, [tensor(0.5114, device='cuda:0'), tensor(0.5147, device='cuda:0')]
37, 8.9818, 1.9443, 3.1888e-05, 0:00:00.679711, 771339.58, [tensor(0.5127, device='cuda:0'), tensor(0.5169, device='cuda:0')]
38, 8.9633, 2.2948, 3.2727e-05, 0:00:00.677982, 773306.67, [tensor(0.5162, device='cuda:0'), tensor(0.5157, device='cuda:0')]
39, 8.9385, 1.9416, 3.3566e-05, 0:00:00.678484, 772734.51, [tensor(0.5120, device='cuda:0'), tensor(0.5150, device='cuda:0')]
40, 8.9077, 1.9400, 3.4406e-05, 0:00:00.679498, 771581.37, [tensor(0.5157, device='cuda:0'), tensor(0.5163, device='cuda:0')]
41, 8.8342, 2.1410, 3.5245e-05, 0:00:00.679421, 771668.82, [tensor(0.5135, device='cuda:0'), tensor(0.5164, device='cuda:0')]
42, 8.7866, 1.9633, 3.6084e-05, 0:00:00.677135, 774273.96, [tensor(0.5139, device='cuda:0'), tensor(0.5145, device='cuda:0')]
43, 8.7985, 2.1368, 3.6923e-05, 0:00:00.681173, 769684.06, [tensor(0.5127, device='cuda:0'), tensor(0.5175, device='cuda:0')]
44, 8.7483, 1.7853, 3.7762e-05, 0:00:00.682266, 768451.01, [tensor(0.5141, device='cuda:0'), tensor(0.5165, device='cuda:0')]
45, 8.7348, 1.7915, 3.8601e-05, 0:00:00.680698, 770221.16, [tensor(0.5150, device='cuda:0'), tensor(0.5171, device='cuda:0')]
46, 8.6802, 1.8782, 3.9441e-05, 0:00:00.678214, 773042.14, [tensor(0.5112, device='cuda:0'), tensor(0.5144, device='cuda:0')]
47, 8.6890, 1.7968, 4.0280e-05, 0:00:00.678704, 772484.03, [tensor(0.5139, device='cuda:0'), tensor(0.5168, device='cuda:0')]
48, 8.6807, 1.7100, 4.1119e-05, 0:00:00.677085, 774331.14, [tensor(0.5149, device='cuda:0'), tensor(0.5142, device='cuda:0')]
49, 8.5990, 1.8386, 4.1958e-05, 0:00:00.679247, 771866.49, [tensor(0.5164, device='cuda:0'), tensor(0.5169, device='cuda:0')]
50, 8.6033, 1.6928, 4.2797e-05, 0:00:00.680719, 770197.39, [tensor(0.5121, device='cuda:0'), tensor(0.5174, device='cuda:0')]
51, 8.5638, 1.6813, 4.3636e-05, 0:00:00.676512, 774986.99, [tensor(0.5112, device='cuda:0'), tensor(0.5152, device='cuda:0')]
52, 8.5217, 1.7973, 4.4476e-05, 0:00:00.680397, 770561.89, [tensor(0.5118, device='cuda:0'), tensor(0.5157, device='cuda:0')]
53, 8.4708, 1.5890, 4.5315e-05, 0:00:00.678801, 772373.64, [tensor(0.5170, device='cuda:0'), tensor(0.5156, device='cuda:0')]
54, 8.4794, 1.6881, 4.6154e-05, 0:00:00.683387, 767190.48, [tensor(0.5157, device='cuda:0'), tensor(0.5175, device='cuda:0')]
55, 8.4458, 1.8639, 4.6993e-05, 0:00:00.681283, 769559.79, [tensor(0.5128, device='cuda:0'), tensor(0.5163, device='cuda:0')]
56, 8.3959, 1.5312, 4.7832e-05, 0:00:00.681403, 769424.26, [tensor(0.5127, device='cuda:0'), tensor(0.5182, device='cuda:0')]
57, 8.3791, 1.6570, 4.8671e-05, 0:00:00.680702, 770216.63, [tensor(0.5129, device='cuda:0'), tensor(0.5160, device='cuda:0')]
58, 8.3021, 1.6603, 4.9510e-05, 0:00:00.682573, 768105.39, [tensor(0.5138, device='cuda:0'), tensor(0.5194, device='cuda:0')]
59, 8.2686, 1.4550, 5.0350e-05, 0:00:00.678784, 772392.99, [tensor(0.5137, device='cuda:0'), tensor(0.5144, device='cuda:0')]
60, 8.2528, 1.3879, 5.1189e-05, 0:00:00.680181, 770806.59, [tensor(0.5153, device='cuda:0'), tensor(0.5152, device='cuda:0')]
61, 8.2520, 1.4096, 5.2028e-05, 0:00:00.680697, 770222.29, [tensor(0.5148, device='cuda:0'), tensor(0.5149, device='cuda:0')]
62, 8.1534, 1.4741, 5.2867e-05, 0:00:00.683034, 767586.97, [tensor(0.5136, device='cuda:0'), tensor(0.5190, device='cuda:0')]
63, 8.1143, 1.3882, 5.3706e-05, 0:00:00.678830, 772340.64, [tensor(0.5147, device='cuda:0'), tensor(0.5160, device='cuda:0')]
64, 8.0842, 1.3663, 5.4545e-05, 0:00:00.683148, 767458.88, [tensor(0.5150, device='cuda:0'), tensor(0.5169, device='cuda:0')]
65, 8.0724, 1.3790, 5.5385e-05, 0:00:00.679364, 771733.56, [tensor(0.5109, device='cuda:0'), tensor(0.5156, device='cuda:0')]
66, 8.0121, 1.3188, 5.6224e-05, 0:00:00.682361, 768344.03, [tensor(0.5140, device='cuda:0'), tensor(0.5196, device='cuda:0')]
67, 8.0095, 1.2636, 5.7063e-05, 0:00:00.679409, 771682.45, [tensor(0.5121, device='cuda:0'), tensor(0.5153, device='cuda:0')]
68, 7.9713, 1.4470, 5.7902e-05, 0:00:00.679929, 771092.28, [tensor(0.5095, device='cuda:0'), tensor(0.5180, device='cuda:0')]
69, 7.8811, 1.4190, 5.8741e-05, 0:00:00.680632, 770295.84, [tensor(0.5114, device='cuda:0'), tensor(0.5168, device='cuda:0')]
70, 7.8370, 1.4906, 5.9580e-05, 0:00:00.682354, 768351.91, [tensor(0.5100, device='cuda:0'), tensor(0.5175, device='cuda:0')]
71, 7.8478, 1.2380, 6.0420e-05, 0:00:00.684563, 765872.53, [tensor(0.5169, device='cuda:0'), tensor(0.5196, device='cuda:0')]
72, 7.7835, 1.6107, 6.1259e-05, 0:00:00.686278, 763958.63, [tensor(0.5137, device='cuda:0'), tensor(0.5212, device='cuda:0')]
73, 7.7531, 1.3455, 6.2098e-05, 0:00:00.681249, 769598.19, [tensor(0.5127, device='cuda:0'), tensor(0.5167, device='cuda:0')]
74, 7.6907, 1.1359, 6.2937e-05, 0:00:00.678910, 772249.64, [tensor(0.5100, device='cuda:0'), tensor(0.5157, device='cuda:0')]
75, 7.7117, 1.5274, 6.3776e-05, 0:00:00.683224, 767373.51, [tensor(0.5145, device='cuda:0'), tensor(0.5183, device='cuda:0')]
76, 7.6392, 1.2324, 6.4615e-05, 0:00:00.682131, 768603.10, [tensor(0.5150, device='cuda:0'), tensor(0.5182, device='cuda:0')]
77, 7.6541, 1.2834, 6.5455e-05, 0:00:00.682856, 767787.06, [tensor(0.5115, device='cuda:0'), tensor(0.5192, device='cuda:0')]
78, 7.6108, 1.2345, 6.6294e-05, 0:00:00.681254, 769592.55, [tensor(0.5119, device='cuda:0'), tensor(0.5170, device='cuda:0')]
79, 7.5516, 1.1728, 6.7133e-05, 0:00:00.684266, 766204.96, [tensor(0.5170, device='cuda:0'), tensor(0.5181, device='cuda:0')]
80, 7.5255, 0.9990, 6.7972e-05, 0:00:00.684520, 765920.65, [tensor(0.5110, device='cuda:0'), tensor(0.5204, device='cuda:0')]
81, 7.5280, 1.0140, 6.8811e-05, 0:00:00.679856, 771175.07, [tensor(0.5129, device='cuda:0'), tensor(0.5160, device='cuda:0')]
82, 7.4626, 1.2265, 6.9650e-05, 0:00:00.680868, 770028.85, [tensor(0.5122, device='cuda:0'), tensor(0.5169, device='cuda:0')]
83, 7.4084, 1.0797, 7.0490e-05, 0:00:00.683745, 766788.79, [tensor(0.5105, device='cuda:0'), tensor(0.5180, device='cuda:0')]
84, 7.4063, 1.0479, 7.1329e-05, 0:00:00.682071, 768670.71, [tensor(0.5125, device='cuda:0'), tensor(0.5190, device='cuda:0')]
85, 7.3570, 0.9074, 7.2168e-05, 0:00:00.683670, 766872.91, [tensor(0.5123, device='cuda:0'), tensor(0.5192, device='cuda:0')]
86, 7.3443, 1.1084, 7.3007e-05, 0:00:00.681682, 769109.35, [tensor(0.5096, device='cuda:0'), tensor(0.5169, device='cuda:0')]
87, 7.3520, 1.0459, 7.3846e-05, 0:00:00.681401, 769426.52, [tensor(0.5138, device='cuda:0'), tensor(0.5157, device='cuda:0')]
88, 7.3246, 0.9504, 7.4685e-05, 0:00:00.685622, 764689.58, [tensor(0.5137, device='cuda:0'), tensor(0.5213, device='cuda:0')]
89, 7.3578, 0.9338, 7.5524e-05, 0:00:00.679156, 771969.92, [tensor(0.5118, device='cuda:0'), tensor(0.5159, device='cuda:0')]
90, 7.2727, 0.8743, 7.6364e-05, 0:00:00.682763, 767891.64, [tensor(0.5127, device='cuda:0'), tensor(0.5172, device='cuda:0')]
